N,text,created_at,likes_count,username,user_loc
1,"@SecondGentleman President Joe Biden The Powhatan Federal Government of 70 Tribes est May 14, 1607 say you’re a Fool for putting The United States Government in Bankruptcy over this New $1.75 Trillion Spending Bill will never get the US out of Dept going down Hill",1462803343944814593,2021-11-22 15:21:09+00:00,0,powhatanchula1,"California, USA"
2,"BBB
Big
Bunch of
Bullshit",1462803336357453835,2021-11-22 15:21:07+00:00,0,sallyMae1960,
3,"Add ransomware to the list of threats retailers are worrying about during a complicated holiday shopping season.

+ more about Congress' latest NDAA and BBB moves in this week's weekly cyber: https://t.co/hwGxfqtpb4",1462803324474990593,2021-11-22 15:21:04+00:00,0,samsabin923,"Washington, DC"
4,"The Build Back Better Act contains a large number of tax provisions, ranging from an extension of the advance child tax credit, to a wide variety of green energy tax incentives, and a minimum tax on corporations.
https://t.co/tF4TUk2IU4

#NashvilleTaxRelief #taxliens #taxlevy https://t.co/lgYOfrymmx",1462803320553283587,2021-11-22 15:21:03+00:00,0,TJTaylor71,"Nashville, TN, US, 37211"
5,@GOPLeader And you allowed the cuck-servitives to vote for a spending bill that will make it worse.,1462803315587178504,2021-11-22 15:21:02+00:00,0,willcainshair,
6,Stakeholders argue that there are more appropriate ways to hold for-profit institutions accountable than excluding their students from using the Build Back Better Act’s increase to the maximum Pell Grant. https://t.co/XucnRP0vSo,1462803306024218625,2021-11-22 15:21:00+00:00,0,insidehighered,"Washington, D.C."
7,"@Mark14Robinson @LaserShip It’s complete fraud. Not to mention tampering with mail is a felony offense. The company knows what’s going on and does nothing about it. File a complaint with @bbb_us , call local news, file @FTC. Shut them down!#laseershipsteals",1462803289167306761,2021-11-22 15:20:56+00:00,0,RFrey1,Maryland
8,"In B.C., nature is reminding us why ‘build back better’ is a priority
https://t.co/3ZxdNceDBq",1462803284780015623,2021-11-22 15:20:55+00:00,0,ICLRCanada,"Toronto, Ontario"
9,"MFL issues Hazardous Weather Outlook (HWO) at Nov 22, 10:20 AM EST ...Palm Beaches: High Rip Current Risk, , Scattered Showers and Storms Ahead of Cold Front... https://t.co/Q7zFCA2noF",1462803277691572229,2021-11-22 15:20:53+00:00,0,iembot_mfl,"Miami, FL"
10,"@JoeBiden Biden’s social spending bill raises the SALT cap to $80,000 until 2031 before dropping back down to $10,000, according to The Washington Post. The benefits of such a maneuver would accrue mostly to wealthy individuals living in deep blue, high tax states.",1462803274210418696,2021-11-22 15:20:52+00:00,0,PeterScully001,"East Longmeadow, MA"
11,"@WhiteHouse President Joe Biden The Powhatan Federal Government of 70 Tribes est May 14, 1607 say you’re a Fool for putting The United States Government in Bankruptcy over this New $1.75 Trillion Spending Bill will never get the US out of Dept going down Hill",1462803271995691010,2021-11-22 15:20:52+00:00,0,powhatanchula1,"California, USA"
12,"I agree with much of Chait's critique of the non-profit industrial complex, but Manchin and Sinema aren't carrying water for the Chamber of Commerce because ""defund the police"" is unpopular. 

Progressives in Congress fought for BBB while centrists oppose popular provisions. https://t.co/MoN4ouJcjc",1462803258515333120,2021-11-22 15:20:49+00:00,1,maxberger,"Brooklyn, New York"
13,"Rachel Maddow on what the House passed in the Build Back Better Act, last week. It still has to pass the Senate. Fight for it. https://t.co/4T65aaRVhz",1462803256422416394,2021-11-22 15:20:48+00:00,0,Empowlr,Grad School
14,@JoeBiden President Joe Biden’s Build Back Better legislation includes a multi-billion dollar tax cut for wealthy Americans in blue states while hitting a wide swath of the middle-class with a tax hike. CONT.,1462803251141689350,2021-11-22 15:20:47+00:00,0,PeterScully001,"East Longmeadow, MA"
15,"Economics Nobel Prize Winners agree with Biden's Economic Plans. 

https://t.co/gjvsORi02V",1462803242400817160,2021-11-22 15:20:45+00:00,0,CindyDytle,"Michigan, USA"
16,Illegal Immigrants Would Get $10.5 Billion From Reconciliation Bill https://t.co/YtjlUONnT6 via @TPInsidr,1462803241041895431,2021-11-22 15:20:44+00:00,0,MarvinDailey,
17,@patriotmom61 Please let @RickSantorum know that part of Joe's BBB is auditing every small biz owner who earns under $75K a year. I guess the PTB in DC have never heard the term 'can't get blood out of a turnip',1462803241004056576,2021-11-22 15:20:44+00:00,0,brd999,
18,@fredflunk @wallkop83 @Karl86570560 @isitreallymoira @gmurf11 https://t.co/qQYZRcK6Im this,1462803234662273029,2021-11-22 15:20:43+00:00,0,leee_bbb,On an Island
19,Build Back Better Risks Supercharging “Greenflation” https://t.co/yLoy3MUuAB,1462803201682558979,2021-11-22 15:20:35+00:00,0,WandaRufin,"Miami, FL"
20,"@Blake_Allen13 Seriously - they just got away with telling the country that BBB caps the price of insulin at $35/month.

That's a straight up lie.

There is nothing in the legislation that caps the price of insulin. Big pharma is unscathed and can continue to raise prices.

Messaging indeed!",1462803200503812098,2021-11-22 15:20:35+00:00,0,robertnorton_,
21,"Joe Manchin and Kyrsten Sinema are attracting billionaire GOP donors as they scale back Biden’s Build Back Better https://t.co/dRsxaBs2Gf 
History will label these 2 as Benedict Arnold Redux...",1462803186276728837,2021-11-22 15:20:31+00:00,0,CameronKuss,Cauli-fornia
22,"LWX issues Area Forecast Discussion (AFD) at Nov 22, 10:19 AM EST https://t.co/7yTzrAoHzR",1462803155914133504,2021-11-22 15:20:24+00:00,0,iembot_lwx,Baltimore/Washington DC
23,"@RepHuizenga I have long argued against having a ""Representative"" who doesn't represent. What's that going to get us?

Why did you vote against the Infrastructure Bill?
Why did you vote against the BBB Plan?

You clearly don't care about your constituents (duh!)

Time for you to go, $Bill.",1462803154517598221,2021-11-22 15:20:24+00:00,0,Jmkbits,
24,"Beltway Insider: Biden/Harris, Build Back Better, Gas Prices, COVID/Vaccine Totals, Guilt/Innocent: Crime in America https://t.co/Bw8ZB0l2gF",1462803128173039617,2021-11-22 15:20:17+00:00,0,JanetWa94118686,"Beverly Hills, CA"
25,"President Biden is right.

We can fund crucial investments in working families and build an economy that works for ALL of us when the wealthy and corporations pay their fair share in taxes. 

Let's get it done! #RewardWorkNotWealth
https://t.co/puTB62Gun1 https://t.co/uDndh2S3KY",1462803085953224707,2021-11-22 15:20:07+00:00,0,jilevin,"San Jose, CA"
26,@BrianDeeseNEC @SenTomCotton Getting really tiresome listening to people like Brian blatantly lie about inflation &amp; the negative impact of BBB. 😑,1462803080865591300,2021-11-22 15:20:06+00:00,0,msunitedam,"Palm Beach, FL"
27,"ICYMI: The U.S. House of Representatives voted to pass the Build Back Better Act. Here's what that means:

@PatricePinkFile's latest ⇣
https://t.co/XJkZLXrO4r",1462803064616796167,2021-11-22 15:20:02+00:00,0,IWF,"Washington, D.C."
28,"Delegates at last week's @CIAJ_ICAJ conference highlighted the need for Canada's justice system to recognize the existence of the many Indigenous legal orders in Canada, reconciling them with common law and current legal protocols: https://t.co/9Q3xM2CN6N.",1462803062507114505,2021-11-22 15:20:02+00:00,0,CFCJ_FCJC,Toronto
29,Did you see how much of a tax break they get with the BBB? You'd understand if you did. https://t.co/0cmSrrZH4b,1462803052432441344,2021-11-22 15:19:59+00:00,0,GinaNic02483743,"Pennsylvania, USA"
30,"SSN, Work Requirement For Child Tax Credit Would Be Removed In ‘Build Back Better’ Plan https://t.co/uU6CkRWpuM via @TPInsidr",1462803047265013761,2021-11-22 15:19:58+00:00,0,MarvinDailey,
31,"Passing policy won't help dems.

Attacking cultural war issues like Law and order immigration and CRT probably would do more than BIF and BBB.

Folks will get it eventually it's not about the economy for white folks. https://t.co/t8EeqSo6Aj",1462803041103581184,2021-11-22 15:19:57+00:00,2,reesetheone1,"Chicago, IL"
32,How Nancy Pelosi Got Biden's Build Back Better Bill Back on Track by using Back Channels (another expression for bribing) for votes.,1462803040562552848,2021-11-22 15:19:57+00:00,0,ThePlumbLine50,
33,Joe’s BBB program (Big Bad Boondoggle),1462803037781700608,2021-11-22 15:19:56+00:00,0,TRecs51,
34,@POTUS @POTUS you have proven to be the deal Maker trump pretended to be . your build back better bill speaks for itself and your correct about the cost of medicine the cost of life saving medicine should be reduced and your build back better bill will ensure that happens https://t.co/pL8aVxYyMW,1462803006001455108,2021-11-22 15:19:48+00:00,0,KevinJosephKel1,
35,@amyklobuchar and @TinaSmithMN  please support immigration reform in BBB bill,1462803001169440773,2021-11-22 15:19:47+00:00,0,TinAravind,
36,"Here's a look at #BuildBackBetter, what it means for Buffalo's poor and not-so-poor, and how and whether the Senate might be able to pass it: https://t.co/NHZewq7XxV via @TheBuffaloNews",1462802980667891724,2021-11-22 15:19:42+00:00,0,JerryZremski,"Washington, DC"
37,.@marcorubio You need to support Build Back Better !  Support Voting Rights Act!  Do your job! Show up as a senator and do what’s right for us Floridians. #youaregettingpaid #taxdollarspayyoursalary #dowhatisright or face #BLUEWAVE2022,1462802953321041923,2021-11-22 15:19:36+00:00,0,TheAmpster,"Miami, FL"
38,"https://t.co/E9gd3JJq55 it's never good to rush a good thing ! Biden's build back better will emerge victorious , evil will lose !",1462802936376004608,2021-11-22 15:19:32+00:00,0,HappyLu84721844,
39,"@SenSchumer @amyklobuchar @BernieSanders @harrisonjaime 
Pass the John Lewis Voting Rights Act or the infrastructure and BBB will be for naught.  Gerrymandering is out of control.  End the filibuster.",1462802931288260619,2021-11-22 15:19:31+00:00,0,C_wilson109,
40,"@KamalaHarris President Joe Biden The Powhatan Federal Government of 70 Tribes est May 14, 1607 say you’re a Fool for putting The United States Government in Bankruptcy over this New $1.75 Trillion Spending Bill will never get the US out of Dept going down Hill",1462802926045253640,2021-11-22 15:19:29+00:00,0,powhatanchula1,"California, USA"
41,"Millions of families are struggling to find the right ingredients at a reasonable price to put on the table for their annual feast. @HouseDems voted for a massive, sweeping tax and spending bill that will cause prices to rise even higher. https://t.co/ayxvXKMeFj",1462802914582437892,2021-11-22 15:19:27+00:00,0,GovWaste,"Washington, DC"
